reviewId,content,score,app
79b9df24-1a42-4460-a47a-3051806ab68e,Di Ako maka pag danload Ng Facebook,3,Facebook Lite
64542ac9-e9cd-492a-bc26-da933672679a,Good,5,Netflix
a44b8e8a-fd34-4bdc-907c-7e0f6dba5cec,"Please I can't open my messages, all my work updates are sent here. Can you please do something...",1,Viber
af2f3f68-a227-4869-94e5-7688d51aca58,🌟🔥,4,Candy Crush Saga
4abb77c0-78b5-422b-a3d8-bd04f886f6d9,It is nice,5,Microsoft PowerPoint
b60f5796-4ba2-4623-be24-1edfbf392fbc,good,5,LINE
847f6b9d-2213-47e3-afe3-7dd0320af523,nice app you can create easy presentation with the help of this amazing app,4,Microsoft PowerPoint
8f530058-ef26-45b8-bb4f-fe4986505f1f,Good app I love it,5,Facebook Messenger
a6a26b17-6cf4-4a55-a435-44c95178f45c,nice app 🤠,5,Snapchat
2ebe976d-4792-4862-a1c8-0cb956fee4ee,it's a wonderful app just would love it more if it had all the options you would have on a compute such as page borders and if it was easier to us besides that it's a good app,4,Microsoft Word
58946b45-949d-4fb6-987d-277f09546790,😡,1,Instagram
a30a1e1b-0303-4a39-838e-e2dd425c8471,good,3,Viber
b193bc92-889c-4afa-9a41-82c9bbf13dd7,Latest version very bad...,1,Netflix
7e9eb80d-5b93-4e86-ab11-21bd7615acb1,Great App,5,Facebook Lite
942c8d38-2824-4714-8926-089e7a4de499,Good game,5,Candy Crush Saga
fb9db8aa-c265-46bc-8fc9-0a3f7d53675c,Fantastic game,5,Candy Crush Saga
858e36cb-733c-40bb-a16a-8378bfd6068d,Babae,5,Facebook Messenger
36413701-67c7-4ea4-be5c-39de367e93dd,"My Facebook page has been hacked, so can you help me to regain my account",4,Facebook Lite
9de4a3fa-c897-483d-af95-c990e0ce1924,Nic,5,SHAREit
fadc5851-e589-458e-8616-bc1ce9e323d8,"ya , I know,, Allahabad Uttar de e ii hai tu,r,xlyl UC/ tu,merakar £ u,,zxx ok 6, me",5,Candy Crush Saga
da5dfa35-5251-48ff-8c51-343035997a1d,So far as good as Google Drive except for free storage size.,4,Dropbox
c0c8a8f9-8ec0-4a96-ae7b-8d23cffa5250,Nice app,3,Flipboard
08de05ed-db99-4bef-b7f8-74a266814680,Super,5,Microsoft PowerPoint
ddbc7736-6cfa-4dc1-bcce-7b2c6404f270,Why can't i log in using facebook anymore. It made me basically lose my account like this. My phone numbers connected to it is already not available many years ago. Make it back so i can log in with facebook please,1,LINE
051ebbf7-d60c-4529-876b-9c8abe6a866e,movies and series are not downloading on my Netflix account. There is some problem with it. Please fix it as soon as possible.,2,Netflix
9005a850-d778-402e-a419-f86511737489,"Stop with the AI bs and fix your app Zucky. Links often won't send, often freezes when switching accounts, voice messages often won't send. This was never a problem up until the time you started dumping billions into your Meta bs. Edit: Zuck how did you manage to somehow f up even worse than Elon? I didn't think it was possible to run an app worse than that man and yet you've done it. This is impressively bad. I'm giving you 5 stars because I'm impressed but how glitchy this app has become",5,Facebook Messenger
884f88ab-8aec-4de8-9371-d7f68d5cc741,"I change the phone,and try to reinstal and backup my viber. Its was not succesfull,and my account was blocked. Help system work with bots, no human service. They leave me with no way to restore account.",2,Viber
a78d7086-f649-4248-a7ab-a53815aa0b18,I remember when I had no problems with Skype and now there is a problem we use to add friends on here that had Skype and it was so easy for friends to find us on the app and we can't do that anymore this app needs to be updated big time so please give a Update so it can be more easy and we should be allowed to make our own back arounds too and choose different colors for our message boxes too this needs a big upgrade or update please do,1,Skype
d5293dec-cbd1-42ef-90cb-914869d1584b,Was good and helpful us as people,5,Facebook Lite
e92901be-6351-42b6-bc21-cc0257fbfe26,I loved this app until you made SELECTION OF A SONG premium. I absolutely hate it. Messed up my WHOLE day. Fix this now.,1,Spotify
ee42a9e0-b3db-45f7-86a1-b855392ada5a,This app is great keeps me In contact with my friends bot needs a little improvement on the opening of the app cause it's very slow but overall I love and recommend the app,5,Snapchat
738c035b-5fc5-4d9b-8392-44e851f1360a,"Just installed, instantly got suggested news feeds not for my country, didn't find a way to fix/optimize, uninstalled.",1,Flipboard
137746ed-9ffa-47c1-b7b1-4d98853ac1c8,Too much errors,1,Facebook Messenger
37cc337b-7a8f-45e3-8a8c-a4e7033c1deb,good,5,Viber
51b4c3df-bd98-4858-b685-8f8aef969011,ew,1,Flipboard
b16f428d-c397-4a04-9843-ae700edd207a,👍,5,Facebook Messenger
0cf11b04-7e7a-437e-9ff6-ae084ce636d2,good app but one thing not good you have to give android hdr mode on off option,3,Netflix
97184764-69a1-4b80-89ce-97f4b872bd8d,All around solid app for what I want. Only complaint I got is for better servers because I can't get on during peak hrs but still really like it.,5,Twitter
d8990286-389d-4371-b594-5f443b733073,Pictures load much faster if you don't use the app. Asks way too many permissions on sign up. UI feels outdated.,2,Dropbox
3b7f4186-b5a1-402a-81ec-3d3aeed6e0ba,Ok,5,Facebook Messenger
e3384338-b40b-443f-8bea-158d8c3c4882,beautyful,4,Facebook Lite
6f0bc49a-d0f6-4786-b8b4-2eec234f40d8,Great app 👌,5,Flipboard
80f5bd2f-2f72-4c67-9e00-96734650b1a2,all ok...about it but....ek buri baat ye hai ki...chat wallpaper change nhi kr pa rhi hu premium k bina...,4,Snapchat
f7451946-57fb-48dc-bdb7-41185704121f,Very Good App 👍 All problems solved.,1,Spotify
